Index,Location,Name,Category,Time,Image,url,Timings
47,T4,Curry Times,Chinese,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Curry+Times+@+Changi+Airport+T4/@1.3384416,103.9551467,13z/data=!4m8!1m2!2m1!1sCurry+Times+T4+!3m4!1s0x31da3d324af8f785:0x4dbfc09535ece98!8m2!3d1.3384416!4d103.9836789",6 AM - 12 AM
48,Jewel,D'good Café,Cafe,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/d'Good+Caf%C3%A9/@1.3598596,103.9899992,17z/data=!3m2!4b1!5s0x31da3c8963249ae3:0xc4789872c75c8dc0!4m5!3m4!1s0x31da3d70b3408a11:0x2b60b82d96177302!8m2!3d1.3598596!4d103.9899992",9 AM - 11 PM
49,Jewel,Dal.komm Coffee,Cafe,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/dal.komm+COFFEE/@1.3599046,103.9876912,17z/data=!3m1!5s0x31da3c8963249ae3:0xc4789872824ef378!4m8!1m2!2m1!1sDal.komm+Coffee+Jewel+changi+airport!3m4!1s0x31da3c8961f20a7b:0x8ed1191f8aed345a!8m2!3d1.3599046!4d103.9898799",10 AM - 10 PM
50,Jewel,Dian Xiao Er,Chinese,2-3 hours,http://www.dianxiaoer.com.sg/wp-content/uploads/2017/08/Jurong-Point.jpg,"https://www.google.com/maps/place/Dian+Xiao+Er/@1.3599032,103.9872355,17z/data=!3m1!5s0x31da3c8963249ae3:0xc478987240ae1e46!4m8!1m2!2m1!1sDian+Xiao+Er+Jewel+changi+airport!3m4!1s0x31da3db52ceb2ecd:0x6b200e66d6e2a22f!8m2!3d1.3599032!4d103.9894242",10 AM - 10 PM
51,Jewel,Din Tai Fung,Taiwanese,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Din+Tai+Fung+Changi+Airport+Jewel+Restaurant/@1.3601119,103.9890458,17z/data=!3m2!4b1!5s0x31da3c8963249ae3:0xc47898722a032b44!4m5!3m4!1s0x31da3db727278c03:0x8cbb12f7929842e4!8m2!3d1.3601119!4d103.9890458",10 AM - 10 PM
52,Jewel,Dunkin' Donuts,Cafe,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Dunkin%E2%80%99+Donuts/@1.3603681,103.9874118,17z/data=!3m1!5s0x31da3c8963249ae3:0xc478987240ae1e46!4m8!1m2!2m1!1sDunkin'+Donuts+Jewel+changi+airport!3m4!1s0x31da3d6ae0042985:0xaa1880c0cfa0a242!8m2!3d1.3603681!4d103.9896005",7 AM - 12 AM
53,Jewel,Earle Swensen's,Cafe,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Earle+Swensen%E2%80%99s/@1.3585456,103.9881467,17z/data=!3m1!5s0x31da3c8963249ae3:0xc47898722a032b44!4m8!1m2!2m1!1sEarle+Swensen's+Jewel+changi+airport!3m4!1s0x31da3dc537ba5d89:0xc49a1e2eb5b0cf53!8m2!3d1.3603751!4d103.9893043",10 AM - 10 PM
54,Jewel,Eggs 'n Things,Hawaiian ,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Eggs+%E2%80%98n+Things/@1.3597843,103.987734,17z/data=!3m1!5s0x31da3c8963249ae3:0xc47898722a032b44!4m8!1m2!2m1!1sEggs+'n+Things+Jewel+changi+airport!3m4!1s0x31da3d60f363087f:0xf2528b36c1576f7d!8m2!3d1.3597843!4d103.9899227",10 AM - 10 PM
55,Jewel,El Fuego by Collin's,European ,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Elfuego/@1.3581066,103.9880294,17z/data=!3m1!5s0x31da3c8963249ae3:0xc47898720f015825!4m8!1m2!2m1!1sEl+Fuego+by+Collin's+Jewel+changi+airport!3m4!1s0x31da3dde6d5ecc1f:0x11621115117edff7!8m2!3d1.3595963!4d103.9896995",10 AM - 10 PM
56,Jewel,Emack & Bolio's,Ice Cream,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Emack+%26+Bolio%E2%80%99s/@1.3600431,103.9871754,17z/data=!3m1!5s0x31da3c8963249ae3:0xc478987240ae1e46!4m8!1m2!2m1!1sEmack+%26+Bolio's+Jewel+changi+airport!3m4!1s0x31da3d26e97910fd:0x4e933d4394858a71!8m2!3d1.3600431!4d103.9893641",10 AM - 12 AM
