Index,Location,Name,Category,Time,Image,url,Timings
200,T2,Swensen's,Fast Food/Desserts,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,https://maps.google.com/?cid=5289177682772996914,Open 24 hours
201,T3,Tai Cheong Bakery,Café/Bakery,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,http://www.changiairport.com/content/cag/en/maps.html#20/1.3575488/103.9874933/-67,7 AM - 11 PM
202,Jewel,Tanuki Raw and the World is Flat,Japanese,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/The+World+Is+Flat+at+T1+Changi+Airport/@1.3601999,103.9872962,17z/data=!4m8!1m2!2m1!1sTanuki+Raw+and+the+World+is+Flat+jewel+changi!3m4!1s0x31da3c89f635b84f:0xda2d305b3b365f15!8m2!3d1.3624261!4d103.989906",10 AM - 12 AM
203,T3,Tanuki Raw Express,Japanese,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Tanuki+Raw+Express/@1.355528,103.9854468,17z/data=!3m1!4b1!4m5!3m4!1s0x31da3d03cb624db1:0x2d01a3a34da9ae24!8m2!3d1.355528!4d103.9854468",6 AM - 1 AM
204,Jewel,Tapas Club,Spanish,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Tapas+Club/@1.3601999,103.9872962,17z/data=!3m1!5s0x31da3c8963249ae3:0xc47898722a032b44!4m5!3m4!1s0x31da3df7313500f1:0x1c2985d8f9e6f8f0!8m2!3d1.3601073!4d103.9893079",10 AM - 10 PM
205,T1,Teahouse by Soup Restaurant,Tea,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,https://maps.google.com/?cid=3138324077623279383,8 AM - 11 PM
206,T3,Terminal M - Multi Concept Food Hall,Multiple Cuisines,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,http://www.changiairport.com/content/cag/en/maps.html#20/1.3565781/103.9873917/-67,1030 AM - 11 PM
207,T4,Texas Chicken,Fast Food,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Texas+Chicken+(Changi+Terminal+4)/@1.338303,103.9660226,14z/data=!4m8!1m2!2m1!1sTexas+Chicken+T4+!3m4!1s0x31da3cc043c1c557:0xde589b744a45a5a1!8m2!3d1.338303!4d103.9835321",Open 24 hours
208,T2,TGM,Multiple Cuisines,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,https://maps.google.com/?cid=337430822911332878,6 AM - 1 AM
209,Jewel,Thaiexpress Signature,Thai,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/ThaiExpress/@1.3598858,103.9894527,17z/data=!3m2!4b1!5s0x31da3c8963249ae3:0xc47898722a032b44!4m5!3m4!1s0x31da3c8bdea08363:0xff9709efc48cf5e0!8m2!3d1.3598858!4d103.9894527",10 AM - 10 PM
210,Jewel,The Alley,Tea,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/The+Alley/@1.3602647,103.9897374,17z/data=!3m1!5s0x31da3c8963249ae3:0xc478987240ae1e46!4m8!1m2!2m1!1sThe+Alley+jewel+changi!3m4!1s0x31da3dc326c0cdcf:0x10e316df02843b62!8m2!3d1.3603093!4d103.9896915",7 AM - 12 AM
211,T1,The Coffee Bean & Tea Leaf,Cafe,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/The+Coffee+Bean+and+Tea+Leaf%C2%AE+-+Terminal+1+Transit/@1.361813,103.9880834,17z/data=!3m1!4b1!4m5!3m4!1s0x31da3c89f459de57:0x5cb8bca6e622503f!8m2!3d1.361813!4d103.9902721",Open 24 hours
212,T2,The Coffee Bean & Tea Leaf,Cafe,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/The+Coffee+Bean+and+Tea+Leaf%C2%AE+-+Terminal+2+Transfer+F/@1.3550383,103.9868131,17z/data=!4m8!1m2!2m1!1sThe+Coffee+Bean+%26+Tea+Leaf+t2!3m4!1s0x31da3c8dd4cd2751:0x8c47b3fb234be737!8m2!3d1.3552684!4d103.9894606",Open 24 hours
213,T3,The Coffee Bean & Tea Leaf,Cafe,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/The+Coffee+Bean+and+Tea+Leaf%C2%AE+-+Terminal+3+Transit+Lounge+South/@1.3555805,103.9774415,15z/data=!4m8!1m2!2m1!1sThe+Coffee+Bean+%26+Tea+LeafMulti+Concept+Food+Hall+T3+!3m4!1s0x31da3c8c35a53b8b:0xe322a89abef2acef!8m2!3d1.3555805!4d103.9861962",Open 24 hours
214,T4,The Coffee Bean & Tea Leaf,Cafe,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/The+Coffee+Bean+%26+Tea+Leaf/@1.3386086,103.9747569,15z/data=!4m8!1m2!2m1!1sThe+Coffee+Bean+%26+Tea+Leaf+T4+!3m4!1s0x31da3c9200dd4605:0x1800f7d7470adc29!8m2!3d1.3386086!4d103.9835116",Open 24 hours
215,T3,The Kitchen by Wolfgang Puck,Multiple Cuisines,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/The+Kitchen+By+Wolfgang+Puck/@1.3571486,103.9862461,17z/data=!3m1!4b1!4m5!3m4!1s0x31da3c8cf26fc173:0x69ac94ddf425674e!8m2!3d1.3571486!4d103.9862461",6 AM - 1 AM
216,T4,Tiger Den,Beer Bar,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,http://www.changiairport.com/en/dine/dining-directory/tiger-den.html,Open 24 hours
217,Jewel,Tiger Street Lab,Beer Bar,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Tiger+Street+Lab/@1.3607067,103.9896841,17z/data=!3m2!4b1!5s0x31da3c8963249ae3:0xc4789872f4d1d33a!4m5!3m4!1s0x31da3d4ba3f919a7:0xb30362102ed50ca4!8m2!3d1.3607067!4d103.9896841",10 AM - 12 AM
218,Jewel,Tim Ho Wan,Chinese,2-3 hours,https://sethlui.com/wp-content/uploads/2019/04/tim-ho-wan-jewel-changi-airport-1.jpg,"https://www.google.com/maps/place/Tim+Ho+Wan/@1.3601591,103.9890508,17z/data=!3m2!4b1!5s0x31da3c8963249ae3:0xc47898720f015825!4m5!3m4!1s0x31da3c8bc539fb35:0xc3663a96820460a8!8m2!3d1.3601591!4d103.9890508",10 AM - 10 PM
219,T1,Tip Top,Singaporean ,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,https://maps.google.com/?cid=4079132864450104408,Open 24 hours
220,T3,Tip Top,Singaporean ,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Tip+Top+Curry+Puffs/@1.356716,103.98651,17z/data=!3m1!4b1!4m5!3m4!1s0x31da3d2e7387a0fd:0xe1523e52bd99b857!8m2!3d1.356716!4d103.98651",Open 24 hours
221,Jewel,Toast Box,Coffee,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Toast+Box/@1.3599528,103.9873524,17z/data=!3m1!5s0x31da3c8963249ae3:0xc478987240ae1e46!4m8!1m2!2m1!1sToast+Box+jewel+changi!3m4!1s0x31da3d98faaca837:0x5bec9343a9d0093b!8m2!3d1.3599528!4d103.9895411",4 AM - 2 AM
222,Jewel,Tokyo Milk Cheese Factory & Cow Cow Kitchen,Japanese,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Tokyo+Milk+Cheese+Factory/@1.3602465,103.9874087,17z/data=!3m1!5s0x31da3c8963249ae3:0xc478987240ae1e46!4m8!1m2!2m1!1sTokyo+Milk+Cheese+Factory+%26+Cow+Cow+Kitchen+jewel+changi!3m4!1s0x31da3d6126a71839:0x4b3e4fa5a77b0ef!8m2!3d1.3602465!4d103.9895974",7 AM - 12 AM
223,Jewel,Tonito,Peruvian,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/TONITO/@1.3597805,103.987676,17z/data=!3m1!5s0x31da3c8963249ae3:0xc47898720f015825!4m8!1m2!2m1!1sTonito+jewel+changi!3m4!1s0x31da3dd237de6d53:0x592bfa16ec8efd72!8m2!3d1.3597805!4d103.9898647",10 AM - 10 PM
224,Jewel,Tonkatsu by Ma Maison,Japanese/French,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/MA+MAISON/@1.3596118,103.9879463,17z/data=!3m1!5s0x31da3c8963249ae3:0xc47898720f015825!4m8!1m2!2m1!1sTonkatsu+by+Ma+Maison+jewel+changi!3m4!1s0x31da3c895e1049fd:0xd729cff6c57f1c52!8m2!3d1.3596118!4d103.990135",10 AM - 10 PM
225,T2,Tp Tea,Tea,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/TP+Tea+Changi+Airport+Terminal+2/@1.3563291,103.9868858,17z/data=!3m1!4b1!4m5!3m4!1s0x31da3d90060d3edd:0x76f673e1983e350b!8m2!3d1.3563231!4d103.9890745",Open 24 hours
226,T4,Treasures Yi Dian Xin by Imperial Treasure,Chinese,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Treasures+by+Imperial+Treasure+Yi+Dian+Xin/@1.3372954,103.9653986,14z/data=!4m8!1m2!2m1!1sTreasures+Yi+Dian+Xin+by+Imperial+Treasure+T4+!3m4!1s0x31da3cc7612dd741:0x3b07ba6d0ff8c9f!8m2!3d1.3372954!4d103.9829081",6 AM - 12 AM
227,T2,Tunglok Tea House,Tea,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,https://maps.google.com/?cid=17075090982763700746,Open 24 hours
228,Jewel,Twelve Cupcakes,Desserts,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Twelve+Cupcakes/@1.3603254,103.9893428,17z/data=!3m2!4b1!5s0x31da3c8963249ae3:0xc478987240ae1e46!4m5!3m4!1s0x31da3c8be0a8cc51:0x1d029e4300fd75ac!8m2!3d1.3603254!4d103.9893428",7 AM - 12 AM
229,Jewel,Violet Oon Singapore,Singaporean ,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Violet+Oon+Singapore/@1.3605312,103.987577,17z/data=!3m1!5s0x31da3c8963249ae3:0xc4789872c75c8dc0!4m8!1m2!2m1!1sViolet+Oon+Singapore+jewel+changi!3m4!1s0x31da3d3c30e00c85:0xe209fa776b2e446!8m2!3d1.3605312!4d103.9897657",9 AM - 11 PM
230,T2,Wang Café,Cafe,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,https://maps.google.com/?cid=3857350306323094201,Open 24 hours
231,Jewel,White Restaurant,Singaporean ,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/White+Restaurant+@+JEWEL/@1.3599935,103.9874466,17z/data=!4m8!1m2!2m1!1sWhite+Restaurant+jewel+changi!3m4!1s0x31da3d9704aa4f45:0xb08922569ad1835b!8m2!3d1.3599935!4d103.9896353",10 AM - 10 PM
232,Jewel,Xiao Bin Lou,Chinese,2-3 hours,https://media-cdn.tripadvisor.com/media/daodao/photo-s/06/09/c1/c1/caption.jpg,"https://www.google.com/maps/place/Xiao+Bin+Lou/@1.359771,103.9904526,17z/data=!3m2!4b1!5s0x31da3c8963249ae3:0xc47898720f015825!4m5!3m4!1s0x31da3d580aa09559:0x56f833bf05cc4f82!8m2!3d1.359771!4d103.9904526",10 AM - 10 PM
233,T3,Xin Wang Hong Kong Café,Cafe,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,https://maps.google.com/?cid=6213279078222847387,9 AM - 2 AM
234,T3,Ya Kun Family Café,Cafe,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Ya+Kun+Kaya+Toast+Family+Caf%C3%A9+Changi+Airport+Terminal+3/@1.356716,103.98651,17z/data=!4m5!3m4!1s0x31da3c8cfa0feeff:0xf39f7f7a77f65c9f!8m2!3d1.3565939!4d103.9866646",Open 24 hours
235,T1,Ya Kun Kaya Toast,Fast Food,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,http://www.changiairport.com/content/cag/en/maps.html#20/1.3620621/103.9914547/-67,Open 24 hours
236,T2,Ya Kun Kaya Toast,Fast Food,2-3 hours,https://d22ir9aoo7cbf6.cloudfront.net/wp-content/uploads/sites/2/2018/10/Saltwater-Halal-Restaurants-Singapore-1024x731.png,"https://www.google.com/maps/place/Ya+Kun+Kaya+Toast/@1.3563291,103.9868858,17z/data=!4m8!1m2!2m1!1sYa+Kun+Kaya+Toast+T2!3m4!1s0x0:0x572a92ae85e04e97!8m2!3d1.3553949!4d103.9899006",Open 24 hours
237,Jewel,Yu's Kitchen,Chinese,2-3 hours,https://www.goodfood.com.au/content/dam/images/h/1/9/u/g/l/image.related.articleLeadwide.620x349.h1amfk.png/1548743774027.jpg,"https://www.google.com/maps/place/Yu%E2%80%99s+Kitchen/@1.3596048,103.989696,17z/data=!3m2!4b1!5s0x31da3c8963249ae3:0xc47898722a032b44!4m5!3m4!1s0x31da3d03625d60cd:0xaf248cfdd45cd880!8m2!3d1.3596048!4d103.989696",10 AM - 10 PM
238,Jewel,Yun Nans,Chinese,2-3 hours,https://media-cdn.tripadvisor.com/media/daodao/photo-s/06/09/c1/c1/caption.jpg,"https://www.google.com/maps/place/YUNNANS+云海肴/@1.3597702,103.9871754,17z/data=!3m1!5s0x31da3c8963249ae3:0xc47898720f015825!4m8!1m2!2m1!1sYun+Nans+jewel+changi!3m4!1s0x31da3d0cdf6addbf:0x248cf820de6d974f!8m2!3d1.3597702!4d103.9893641",10 AM - 10 PM
239,T3,Akshaya Patra,Indian,2-3 hours,https://cdn.citynomads.com/wp-content/uploads/2019/05/01153334/y-min.png,http://www.changiairport.com/en/dine/dining-directory.html#/filter?tab=all,Open 24 hours
240,T1,Chin Lee,Chinese,2-3 hours,https://media-cdn.tripadvisor.com/media/daodao/photo-s/06/09/c1/c1/caption.jpg,http://www.changiairport.com/en/dine/dining-directory.html#/filter?tab=all,Open 24 hours
,,,,,,,
,,,,,,,
,,,,,,,
