Index,Location,Name,Category,Image,Timings
158,T4,Lacoste,Shopping,http://www.changiairport.com/content/dam/cag/ikiosk/logo/1446.jpg,10 AM - 11 PM
159,Jewel,Lacoste,Shopping,http://www.changiairport.com/content/dam/cag/ikiosk/logo/1446.jpg,6 AM - 12 AM
160,T3,Laneige / Sulwhasoo,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/kiehls_logo.jpg,10 AM - 11 PM
161,Jewel,Lavender,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/kimoj_brand_logo_size_2.jpg,10 AM - 10 PM
162,Jewel,Levi's,Shopping,http://www.changiairport.com/content/dam/cag/ikiosk/logo/1460.png,11 AM - 11 PM
163,Jewel,Lim Chee Guan,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/kipling_brand_logo_size_2.jpg,10 AM - 10 PM
164,Jewel,Little Red Dot Gifts,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/klosh_brand_logo_size_2.jpg,10 AM - 10 PM
165,Jewel,Love Moschino,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/leclair_patisserie_brand_logo_size_2.png,9 AM - 11 PM
166,Jewel,Laderach Chocalatier Suisse,Shopping,http://www.changiairport.com/content/dam/cag/ikiosk/logo/1068.png,6 AM - 12 AM
167,Jewel,Make Hero,Shopping,http://www.changiairport.com/content/dam/cag/ikiosk/logo/1068.png,6 AM - 1 AM
168,Jewel,Mango,Shopping,http://www.changiairport.com/content/dam/cag/ikiosk/logo/1068.png,6 AM - 12 AM
169,Jewel,Mark Nason Los Angeles X Skechers,Shopping,http://www.changiairport.com/content/dam/cag/ikiosk/logo/1068.png,9 AM - 11 PM
170,Jewel,Marks & Spencers,Shopping,http://www.changiairport.com/content/dam/cag/shop/shop_logos/270x270-logos-laneige_sulwhasoo.jpg,7 AM - 11 PM
171,Jewel,Masimmo Dutti,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/lavender_brand_logo_size_2.png,10 AM - 10 PM
172,Jewel,Meyson Jewellery,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/levi's_brand%20logo%20size%202.png,10 AM - 10 PM
173,T3,MindChamps PreSchool,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/lim_chee_guan_brand_logo_size_2.jpg,10 AM - 10 PM
231,Jewel,Miss Hosay,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/little_red_dot_gifts_logo.jpg,9 AM - 11 PM
232,Jewel,Mothercare,Shopping,http://www.changiairport.com/content/dam/jca-project/tenant/60/love_moschino_logo.jpg,9 AM - 11 PM
